",№ обр.,""Глубина, м"",№ слоя,Гигр.влага,Содержание в %,""Диаметр частиц, мм"""
0,1,0.27,1,1.63,11.47,<0.001
1,2,0.59,2,0.39,2.17,<0.001
2,3,0.73,3,1.77,20.03,<0.001
3,4,1.0,3,1.54,18.04,<0.001
4,5,1.35,3,1.23,16.08,<0.001
5,6,1.67,3,1.58,19.35,<0.001
6,7,2.26,3,1.37,13.26,<0.001
7,8,2.4,4,1.56,17.07,<0.001
8,9,2.7,4,1.4,16.19,<0.001
9,10,2.9,5,1.39,17.44,<0.001
10,11,3.13,5,1.72,19.09,<0.001
11,12,3.33,5,1.39,18.13,<0.001
12,13,3.55,6,1.36,16.34,<0.001
13,14,3.78,6,1.54,17.96,<0.001
14,15,4.14,6,1.66,17.61,<0.001
15,16,4.32,6,1.54,16.86,<0.001
16,17,4.42,6,1.4,16.8,<0.001
17,18,4.49,7,1.71,22.34,<0.001
18,19,4.57,7,1.83,22.21,<0.001
19,20,4.69,8,2.08,23.69,<0.001
20,21,4.8,8,2.37,22.53,<0.001
21,22,4.97,8,2.3,22.07,<0.001
22,23,5.06,8,2.51,21.95,<0.001
23,24,5.21,9,3.35,33.48,<0.001
24,25,5.37,10,3.21,39.38,<0.001
25,26,5.48,10,2.39,27.99,<0.001
26,27,5.55,10,2.93,30.04,<0.001
27,28,5.64,11,2.68,26.59,<0.001
28,29,5.78,11,2.53,25.65,<0.001
29,30,5.85,12,0.86,11.1,<0.001
30,31,5.92,12,0.41,14.86,<0.001
31,32,5.95,12,1.45,17.21,<0.001
32,33,6.01,12,1.97,23.22,<0.001
33,34,6.24,13,0.32,14.57,<0.001
34,35,6.5,14,0.52,7.16,<0.001
"35,1,0.27,1,1.63,5.12,""0,005-0,001"""
"36,2,0.59,2,0.39,4.46,""0,005-0,001"""
"37,3,0.73,3,1.77,3.14,""0,005-0,001"""
"38,4,1.0,3,1.54,1.5,""0,005-0,001"""
"39,5,1.35,3,1.23,3.32,""0,005-0,001"""
"40,6,1.67,3,1.58,3.37,""0,005-0,001"""
"41,7,2.26,3,1.37,8.8,""0,005-0,001"""
"42,8,2.4,4,1.56,5.32,""0,005-0,001"""
"43,9,2.7,4,1.4,3.53,""0,005-0,001"""
"44,10,2.9,5,1.39,2.76,""0,005-0,001"""
"45,11,3.13,5,1.72,4.92,""0,005-0,001"""
"46,12,3.33,5,1.39,2.23,""0,005-0,001"""
"47,13,3.55,6,1.36,3.17,""0,005-0,001"""
"48,14,3.78,6,1.54,5.24,""0,005-0,001"""
"49,15,4.14,6,1.66,7.65,""0,005-0,001"""
"50,16,4.32,6,1.54,6.99,""0,005-0,001"""
"51,17,4.42,6,1.4,6.73,""0,005-0,001"""
"52,18,4.49,7,1.71,6.88,""0,005-0,001"""
