fid,NID,TITLE,SIG,CATEGORY,RESPID1,RESPID2,RESPNAME1,RESPNAME2,STATUS,SUBRF,START_DATE,END_DATE,AREA,LINK,WKT
"                   1","12276","Парк Бальга","Региональное","памятник природы","12290","56590","Государственное казенное учреждение Калининградской области «Управление охотничьего и лесного хозяйства Калининградской области»","Министерство природных ресурсов и экологии Калининградской области","Действующий","Калининградская область","22.05.1985",,"58.99","http://oopt.aari.ru/node/12276","POLYGON ((19.972743678000096 54.554782955000086, 19.973576805000015 54.55432162500001, 19.97414132700002 54.553811640999996, 19.974138695000057 54.55373901400012, 19.972272127000064 54.55284518300004, 19.974372830000057 54.55272986500002, 19.97770585300007 54.55220751900007, 19.97746980600008 54.55100720100003, 19.979049124000092 54.550916180000044, 19.98036907300005 54.55029253500005, 19.98035445400009 54.54979219400005, 19.97977771600007 54.54852736500003, 19.979213732000023 54.54857118000009, 19.977856105000058 54.54877873400005, 19.977432705000126 54.548828295000064, 19.976744248000088 54.54899789200006, 19.975353770000048 54.54921993200004, 19.97424749400009 54.54932233800007, 19.973856927000025 54.54936114600008, 19.973816256000102 54.54913073800011, 19.973607860000097 54.54861895700003, 19.973361486000066 54.54795217900004, 19.973257811000078 54.54745524100004, 19.972951743000085 54.546687288, 19.971530779000098 54.54666426500005, 19.971569938000048 54.54641479600012, 19.971795081000025 54.545304376000075, 19.971970712000097 54.544763773000014, 19.971561890000103 54.5447615610001, 19.970827017000055 54.544660574000005, 19.97016686800006 54.544655553000034, 19.96844906800003 54.54473182300004, 19.968262684000067 54.5446895580001, 19.9681331560001 54.54453685300006, 19.967940809000062 54.54338888900004, 19.96785067300008 54.542895706000095, 19.96550881000011 54.54292484200001, 19.965514246000026 54.543204954, 19.965665224000094 54.54432420400008, 19.96583632100003 54.545379011000016, 19.966066627000092 54.54591416600008, 19.966037229000047 54.54686867300009, 19.966094573000085 54.5478219970001, 19.966346036000022 54.55053793500012, 19.966334888000063 54.55085351200001, 19.96634168000011 54.55090911900001, 19.966328756 54.55102243400005, 19.966497635000028 54.552245940000034, 19.966844512000062 54.552700673999986, 19.967587632000058 54.553102135000096, 19.968194029000056 54.55325906600002, 19.969179565000083 54.553548845000094, 19.96987408000007 54.55367162800006, 19.970382711000063 54.55379276200002, 19.970775456000055 54.55398965300007, 19.971463295000124 54.55460487200008, 19.972044708000094 54.55499201900005, 19.972743678000096 54.554782955000086), (19.97083010600005 54.54649272000008, 19.970689720000056 54.54646881100006, 19.97083241900005 54.545865095000025, 19.971399375000054 54.54577679200009, 19.97144446500006 54.54578632800006, 19.971446685000075 54.54599838800005, 19.971417268000035 54.546405742000054, 19.97132956600008 54.54645058100005, 19.971058639000113 54.546502253000064, 19.97083010600005 54.54649272000008), (19.968009778000106 54.549636350000036, 19.967559758000068 54.549592561000054, 19.967794553000047 54.54843689500009, 19.967892352000064 54.54806694600002, 19.968450609000076 54.54811736000003, 19.96887547900004 54.54818940800005, 19.970488973000048 54.548398549000034, 19.970813366000076 54.54842434900003, 19.97070751200002 54.54888943700004, 19.970547516000117 54.549389979000075, 19.970474370000105 54.54956616800006, 19.969777240000063 54.549560153000044, 19.969705223000044 54.54973069500004, 19.968009778000106 54.549636350000036))"
"                   2","32094","Майское","Региональное","государственный природный заказник","12290","32085","государственные бюджетное учреждение Калининградской области ""Природный парк ""Виштынецкий""","Министерство природных ресурсов и экологии Калининградской области","Действующий","Калининградская область","15.05.2013",,"1847.1","http://oopt.aari.ru/node/32094","POLYGON ((20.013083063860222 54.89983771574615, 20.012431372587372 54.89940146253945, 20.014647699999987 54.898828300000034, 20.01559668829721 54.89822264098357, 20.015471136853574 54.89657274541018, 20.015810943470246 54.89532714200157, 20.016269254572723 54.89429650100953, 20.015164284183818 54.893930876186076, 20.015008261569076 54.892716921790075, 20.01645420760073 54.89231554568457, 20.01750918241636 54.8905554965398, 20.01746942690516 54.88638925600759, 20.01715947205234 54.85389611109489, 20.01716550000003 54.84151219999999, 20.016368213463934 54.84149511736005, 20.014333600000022 54.84145150000005, 20.013308700000014 54.84215829999999, 20.012278146794838 54.84386381148313, 20.010552692224746 54.84567594638828, 20.007751799999998 54.84662139999997, 20.006760109537705 54.84624664441462, 20.007518415927457 54.84439568222923, 20.00784862546047 54.843028742965714, 20.006175099999986 54.841833799999996, 20.007828899999996 54.840270600000004, 20.01112120539949 54.8386041159511, 20.013897537100007 54.83828428687361, 20.01572909449744 54.83669017888025, 20.015566234952765 54.835465614770804, 20.013448059421385 54.83598317727036, 20.01195108479153 54.8370129604987, 20.010746712077566 54.83774504109007, 20.00749476245803 54.8374375571772, 20.007092319318534 54.8384399737789, 20.00634442365347 54.839395919498806, 20.003891927735427 54.840061041411666, 19.99603408532458 54.84025697720877, 19.99544991588056 54.841281928623786, 19.995180691006446 54.841754277004, 19.99333223512072 54.84222443939269, 19.983183317161114 54.862791398727445, 19.98139001670906 54.8659338990612, 19.980062939247283 54.88416909613707, 19.980108914042866 54.88495836614031, 19.980194368216814 54.88642532291955, 19.988303700000017 54.888145999999985, 19.99084598271586 54.88643141107386, 19.992819200000024 54.885929900000036, 19.994801892029617 54.88652148453419, 19.99587215158782 54.88727221815177, 19.996637192311535 54.888732445019905, 19.99623930000001 54.890213000000045, 19.991102825111717 54.89311669369559, 19.988133008836748 54.89213312375512, 19.984131378213295 54.889628533943394, 19.981847630112462 54.889894756583075, 19.981086320895624 54.891204532603055, 19.981165541895585 54.89338445118594, 19.980353400000016 54.90961010000001, 19.985141600000038 54.90938160000002, 19.985187899952834 54.91060980214584, 19.982814306798197 54.91144597448315, 19.980602795297866 54.913136936941704, 19.980265079564383 54.92412217988602, 19.98031054736815 54.92599278922249, 19.980325778712498 54.926619399162895, 19.98105617671702 54.926634113103184, 19.98198686955087 54.926668809167325, 19.993668332773296 54.927103681202205, 19.997387494317582 54.92679933971911, 19.997663117573858 54.92602637777315, 19.99788451120901 54.92193109942115, 19.99860120000001 54.92024680000003, 19.997400005423305 54.919002389145376, 19.99767688798575 54.917827653281165, 19.99861965194609 54.917264748506604, 19.999373136326962 54.916842947290846, 19.99857899848782 54.91640839912481, 19.997613348187617 54.91540175474277, 19.9969068798942 54.9139335670885, 19.997014005711694 54.91211541920659, 19.997532229463218 54.91119234527398, 19.998901026739844 54.910918290391336, 20.000368852421232 54.911643718986724, 20.00184467308938 54.912048189678096, 20.001989643926883 54.91119336546924, 20.00182160382861 54.91047863955965, 20.00179190000002 54.909969300000014, 20.003513916890835 54.90963651315128, 20.004635927173478 54.90932470280275, 20.005716096123773 54.908222858411385, 20.007113700000023 54.90731390000001, 20.007933911159167 54.9073272682699, 20.00862612420378 54.909024396684224, 20.009175673239376 54.910371646407576, 20.010737155760197 54.91044454103004, 20.01077806292702 54.911300888185885, 20.009388213357457 54.91189312235845, 20.00753399637559 54.91230878887175, 20.006406654256704 54.912834586061415, 20.005014700000018 54.91439250000001, 20.004650799999997 54.91597329999998, 20.00443539786218 54.916879156846115, 20.005620507951235 54.91668821519354, 20.014952600038093 54.914493722736665, 20.016112700000004 54.913881899999986, 20.016188443658237 54.91284283177101, 20.016732824423723 54.90574945588299, 20.016923308382555 54.90047223975614, 20.016513613355396 54.899505907366084, 20.014843761296977 54.89945671282212, 20.013083063860222 54.89983771574615))"
"                   3","52777","Парк Приморский","Региональное","памятник природы","12290","56590","Государственное казенное учреждение Калининградской области «Управление охотничьего и лесного хозяйства Калининградской области»","Министерство природных ресурсов и экологии Калининградской области","Действующий","Калининградская область","22.05.1985",,"3","http://oopt.aari.ru/node/52777","POLYGON ((19.990934765000095 54.72989484000005, 19.991061761000044 54.728106095, 19.98876385300008 54.7280759000001, 19.98876058900006 54.72814072600004, 19.988742804000093 54.728345890000064, 19.988702392000043 54.72882174300008, 19.988686275000042 54.72913150200004, 19.988656300000052 54.72946400400009, 19.988633284000088 54.72973684500001, 19.988612520000068 54.73004196700005, 19.990934765000095 54.72989484000005), (19.989387220000054 54.72896179500004, 19.989426212000073 54.72868483400002, 19.98995722600005 54.728711984000036, 19.989921311000003 54.72898547900004, 19.989387220000054 54.72896179500004))"
"                   4","32086","Филино","Региональное","государственный природный заказник","12290","32085","государственные бюджетное учреждение Калининградской области ""Природный парк ""Виштынецкий""","Министерство природных ресурсов и экологии Калининградской области","Действующий","Калининградская область","15.05.2013",,"24.63","http://oopt.aari.ru/node/32086","POLYGON ((20.02835199300204 54.945887497561316, 20.03001086469777 54.94561540775707, 20.029875434927582 54.94437787146719, 20.029070090450766 54.94351543456987, 20.027252995653942 54.943500909376695, 20.025112425172768 54.943198427436, 20.02015444806914 54.9432536816236, 20.01882367308199 54.943623397346926, 20.01765806571108 54.9439944332461, 20.0171346510117 54.94513154822792, 20.01760937068796 54.94599139381656, 20.018421469074813 54.94656862542995, 20.020401587703866 54.94667970773617, 20.02289347431868 54.94612908755071, 20.02586939260973 54.946057855701355, 20.02835199300204 54.945887497561316))"
"                   5","32088","Шатровское","Региональное","государственный природный заказник","12290","32085","государственные бюджетное учреждение Калининградской области ""Природный парк ""Виштынецкий""","Министерство природных ресурсов и экологии Калининградской области","Действующий","Калининградская область","15.05.2013",,"451.98","http://oopt.aari.ru/node/32088","POLYGON ((20.07871964131592 54.88267270499943, 20.077651684525847 54.88343280104597, 20.070848032184916 54.888274260316166, 20.069470249586843 54.88938953192583, 20.06935414223834 54.8900814526367, 20.073856248918048 54.892482954464526, 20.079265534139928 54.89466022807958, 20.080178533786402 54.894096447477175, 20.080789509563544 54.89371915499805, 20.08150632185747 54.893031767068656, 20.0826571918766 54.89118768227895, 20.08317690000002 54.889795400000004, 20.084045096046527 54.88929821778842, 20.08540351307244 54.88901978097809, 20.088307530066196 54.889041607497354, 20.08945450984144 54.88945475795111, 20.09473051782501 54.888834776457216, 20.09718401273179 54.88847281816243, 20.099188050044468 54.88842995961341, 20.101337149751345 54.88861907713816, 20.102959357828855 54.88897815857917, 20.10544360000003 54.889528000000034, 20.107679967003097 54.889387502674815, 20.110591658633883 54.88906244901558, 20.115452211852062 54.88892473200653, 20.118919609437167 54.88837258801748, 20.12177730459699 54.88822007692322, 20.125038655103467 54.88792607165131, 20.125504517396553 54.88738305325465, 20.125317135810064 54.88662906429088, 20.121065429092962 54.8841158202977, 20.11242123668383 54.87886404307129, 20.104640683461987 54.87288206877291, 20.102431424932092 54.87093166982698, 20.10047567852716 54.868992351397274, 20.098482411653748 54.86844872117148, 20.09751868321378 54.86901890649582, 20.095940174906183 54.87021958627163, 20.090259524069435 54.87481472866203, 20.07871964131592 54.88267270499943))"
"                   6","55867","Аллея дуба черешчатого","Региональное","памятник природы","12290","56590","Государственное казенное учреждение Калининградской области «Управление охотничьего и лесного хозяйства Калининградской области»","Министерство природных ресурсов и экологии Калининградской области","Действующий","Калининградская область","22.05.1985",,"1.93","http://oopt.aari.ru/node/55867","POLYGON ((20.080104165000105 54.943688697000084, 20.08056611500005 54.94332574900002, 20.082647110000025 54.941051675000054, 20.081969128000047 54.940746774000054, 20.081175208000097 54.94169568200005, 20.080389129000046 54.94258268500008, 20.079804255000067 54.94325176100001, 20.078908211000087 54.94405270900003, 20.079021200000042 54.94405272500003, 20.079643057000055 54.94405875000008, 20.080104165000105 54.943688697000084))"
"                   7","12283","Псевдотсуга тисолистная","Региональное","памятник природы","12290","56590","Государственное казенное учреждение Калининградской области «Управление охотничьего и лесного хозяйства Калининградской области»","Министерство природных ресурсов и экологии Калининградской области","Действующий","Калининградская область","22.05.1985",,"1.3","http://oopt.aari.ru/node/12283","MULTIPOLYGON (((20.14247562499997 54.915055160000115, 20.142138598000077 54.914757764999926, 20.141919338000037 54.91488270400009, 20.14183811300018 54.915131936000066, 20.14163238000014 54.915382972000074, 20.141293210000136 54.916030996999936, 20.142371567999994 54.91597963200007, 20.142861705000133 54.91577819000007, 20.143424215000145 54.91543666100016, 20.14247562499997 54.915055160000115)), ((20.088406404000114 54.91913973700012, 20.087905238999962 54.918734971000056, 20.087199857000016 54.918936743000245, 20.08755619800014 54.91937627200008, 20.088406404000114 54.91913973700012)))"
"                   8","52785","Тис ягодный","Региональное","памятник природы","12290","56590","Государственное казенное учреждение Калининградской области «Управление охотничьего и лесного хозяйства Калининградской области»","Министерство природных ресурсов и экологии Калининградской области","Действующий","Калининградская область","22.05.1985",,"0","http://oopt.aari.ru/node/52785","POLYGON ((20.10545009500006 54.94281273400007, 20.105375720000026 54.942796819000066, 20.105348568000093 54.942838832, 20.105422944000015 54.942854747000084, 20.10545009500006 54.94281273400007))"
"                   9","52776","Парк Первомайское","Региональное","памятник природы","12290","56590","Государственное казенное учреждение Калининградской области «Управление охотничьего и лесного хозяйства Калининградской области»","Министерство природных ресурсов и экологии Калининградской области","Действующий","Калининградская область","22.05.1985",,"12","http://oopt.aari.ru/node/52776","POLYGON ((20.125815620000036 54.52602619600005, 20.125973156000025 54.52606484700004, 20.126326640000038 54.52603385800004, 20.12678912000003 54.5259186200001, 20.12718055099999 54.525741062000066, 20.12745980900011 54.52558841900005, 20.127700440000027 54.52541693600006, 20.12785704500001 54.525278853000025, 20.12796793900004 54.525150063000034, 20.12804749600005 54.525020661000056, 20.12802886400003 54.52493286, 20.127992301000102 54.52473076400006, 20.12793572300005 54.5246605170001, 20.12783623300007 54.524536883, 20.127773498000025 54.52445165500004, 20.12776134700001 54.52435449200003, 20.125181164000132 54.52317176900003, 20.124957172000073 54.52325879800004, 20.12422841500007 54.52298406600004, 20.123178274000043 54.5232755860001, 20.12335371900008 54.52378081100006, 20.123574232000042 54.52393946700004, 20.123759725000106 54.524211210000054, 20.124010905000116 54.52443408000001, 20.12358756700008 54.524466631000074, 20.123831122000073 54.525058132000055, 20.123865559000077 54.525306117000056, 20.122953659000107 54.52558621400005, 20.12112048400004 54.52464600100007, 20.120824388000056 54.524812459, 20.120344405000058 54.52448240000004, 20.120190219000076 54.52440757200003, 20.11967788600006 54.52389468300008, 20.119224592000034 54.52357569400005, 20.119394918000104 54.523415313000015, 20.118591192000032 54.52289669599999, 20.118373221000027 54.52297865800004, 20.11829977400008 54.52300965400003, 20.117166575000024 54.52348833900002, 20.116739193000104 54.52366879300002, 20.117236149000085 54.52411674800005, 20.118727100000097 54.52516097600005, 20.11919161500007 54.524921806000066, 20.120121415000085 54.52444302200007, 20.120527394000085 54.52465951600003, 20.124080525000085 54.526784681, 20.125815620000036 54.52602619600005))"
"                  10","52786","Тис ягодный","Региональное","памятник природы","12290","56590","Государственное казенное учреждение Калининградской области «Управление охотничьего и лесного хозяйства Калининградской области»","Министерство природных ресурсов и экологии Калининградской области","Действующий","Калининградская область","22.05.1985",,"0","http://oopt.aari.ru/node/52786","POLYGON ((20.140492516000066 54.94366589900005, 20.140412018000074 54.943665031000066, 20.140410529000043 54.94371083200005, 20.140491027000035 54.94371169900005, 20.140492516000066 54.94366589900005))"
